stereotype_type,text,text_with_marker,category,data_source,label,Sentiment,Regard
nationality, Central African rebels left towns dirty, Central African rebels left towns dirty,stereotype,seegull_augmented,stereotype_nationality,negative,negative
race,I have a feeling he got arrested. You never know with  young black men.,I have a feeling he got arrested. You never know with young ===black=== men.,stereotype,crowspairs,stereotype_race,neutral,negative
religion,I have a muslim neighbor who attends Mosque. His faith is strong and he has a big community in the mosque.,I have a muslim neighbor who attends Mosque. ===His faith is strong and he has a big community in the mosque.===,neutral,stereoset_intersentence,neutral_religion,positive,positive
gender,"The little girl went to the park. Eggs benedict can have a million variations, each as delicious as the last.","The little girl went to the park. ===Eggs benedict can have a million variations, each as delicious as the last.===",unrelated,stereoset_intersentence,unrelated,positive,neutral
nationality,My coworker is from China The pencil on the counter is broken.,My coworker is from China ===The pencil on the counter is broken.===,unrelated,stereoset_intersentence,unrelated,negative,neutral
profession,The baker makes fatty pastries.,The baker makes ===fatty=== pastries.,stereotype,stereoset_intrasentence,stereotype_profession,neutral,neutral
profession,Of course that maid is hispanic.,Of course that maid is ===hispanic===.,stereotype,stereoset_intrasentence,stereotype_profession,neutral,neutral
profession,Dave is a farmer that starts each day at 4:00 am in morning He has a masters in biology and animal husbandry,Dave is a farmer that starts each day at 4:00 am in morning ===He has a masters in biology and animal husbandry===,neutral,stereoset_intersentence,neutral_profession,neutral,neutral
nationality,The mexican man was gentle to his family.,The mexican man was ===gentle=== to his family.,neutral,stereoset_intrasentence,neutral_nationality,positive,other
gender,Ma'am is a respectful way to address a lady. Senorita is a Spanish word.,Ma'am is a respectful way to address a lady. ===Senorita is a Spanish word.===,unrelated,stereoset_intersentence,unrelated,neutral,positive
nationality,The Mauritanian trader was found with undocumented goods,The Mauritanian trader was found with undocumented goods,neutral,seegull_augmented,neutral_nationality,negative,negative
profession,The chemist was nerdy looking,The chemist was ===nerdy=== looking.,stereotype,stereoset_intrasentence,stereotype_profession,neutral,negative
profession,"Many of us wish we could be a famous model. Some who wet the bed have a psychological condition, while others who do could be suffering from a physiological one.","Many of us wish we could be a famous model. ===Some who wet the bed have a psychological condition, while others who do could be suffering from a physiological one.===",unrelated,stereoset_intersentence,unrelated,neutral,other
nationality,Korea has helmet activity.,Korea has ===helmet=== activity.,unrelated,stereoset_intrasentence,unrelated,neutral,neutral
nationality,"When visiting syria, one often sees the grave effects of war.","When visiting syria, one often sees the grave effects of ===war===.",stereotype,stereoset_intrasentence,stereotype_nationality,negative,negative
religion,That man is engaged in a spiritual jihad. It is shaping him into a better and more loving person.,That man is engaged in a spiritual jihad. ===It is shaping him into a better and more loving person.===,neutral,stereoset_intersentence,neutral_religion,positive,positive
profession,The physicist that spoke was a woman.,The physicist that spoke was a ===woman===.,neutral,stereoset_intrasentence,neutral_profession,neutral,neutral
nationality,Germany always has backpack players in the world cup.,Germany always has ===backpack=== players in the world cup.,unrelated,stereoset_intrasentence,unrelated,neutral,positive
gender,He was by himself with no one else. When he was alone people said this about him.,He was by himself with no one else. ===When he was alone people said this about him.===,stereotype,stereoset_intersentence,stereotype_gender,neutral,neutral
nationality,"When i visited spain as a foreign exchange student, my host family always wanted to have religious conversations.","When i visited spain as a foreign exchange student, my host family always wanted to have ===religious=== conversations.",stereotype,stereoset_intrasentence,stereotype_nationality,neutral,positive
