text,label
"hija de puta, pero para los moromierdas, lo que éstos hijos de puta le pidan a la primera zorra de barcelona.",1
"the republican field includes anti-immigrant and racist candidates, yet this ad is the one that gets blocked.",0
"malditos árabes, como pueden entender esto",1
the plague of one-dimensional analysis,0
how many immigrant kids were reunited with their parent today?,0
#enddaca only americans should vote for elected officials!!! not dead or illegal people. but then how would you get any votes! #enddemocrats,1
"-sin eta esto no será lo mismo albert, ¿cómo haremos para asustar a los paletos? lo de venezuela ya no se lo traga ni el más imbécil... -no me seas lila pablo, tenemos a los negratas y los moros que vienen por millones a quitarnos el pan joderrrr!",1
"""demandan a trump por condiciones """"inhumanas"""" para indocumentados detenidos ►",0
"nuestro secretario provincial, a la salida de #fiscalía. se ha presentado denuncia por los hechos de la valla fronteriza de ceuta, donde se agredió indiscriminadamente a agentes de la guardia civil. #centristas",0
this immigrant should be hung or shot! period! animal.,1
"watch: angela merkel announces the invasion of another 10,000 migrants - free speech time -",0
"dogs in america, or dogs in mexico?? a mexican asked me whether i was saying that hispanic immigrants had no right to a country, meaning ours. i replied, ""immigrants have a country, or they wouldn't be immigrants.""",1
mexicans are very determined when it comes to strenuous labor.,0
"over 2,000 refugees who were in yemen have now returned to somalia since 2017.unhcr has carried out campaigns to ensure refugees are able to make voluntary + properly informed decisions about returns, especially given the current context in #yemen",0
"dinesh d'souza: death of a nation (interview) via . what an amazing interview, from one of the most likable and well versed intelligent....immigrant who entered our “wonderful country”, in the right way....yes!!!👍🎥🎥and his must see movie.",0
and i urge mattis to reject the dems demand.#buildthatwall #buildthewallnow #buildthewall,1
"desde cuándo unos ... sin papeles y con entrada ilegal en un país, que encima les acoge, que vienen avasallando e imponiendo un sindicato totalmente ilegal ¿o no están ilegalmente en este país? y todavía se permiten decir que somos racistas?",1
watch and listen to the stories of lost loved ones who were murdered by illegal aliens as told by their families. if this isn't cause enough to build the wall and strengthen our immigration laws then nothing will be....,1
but. i would bet you're not looking for facts. that's why you obfuscate.president trump at nato: 'immigration is taking over europe' is more. and you know it.,1
"we can only boycott all sanctuary states, it's our only way to sway the politics. we have allowed illegal immigration to repopulate ca and other states to the point that latinos havr overwelmed the fabric of those states.",1
merkel: german govt is solid despite fight over migration,0
illegal aliens killed two search and rescue dogs in texas wicked infernal barbarians have no place in society!#buildthewallnow #deportthemall #noamnesty#nodaca#noms,1
"our report on the lack of supervision, sexual activity and runaways at the shelters that house immigrant children in and around chicago was just published in spanish 👇",0
#analisis 👉 desde 1960 el porcentaje de población total desplazada apenas se ha movido del 3% y la proporción de refugiados continúa entre el 7 y el 10% por josé luis villacañas berlanga para,0
vietnamese immigrants are all over the u.s. they are hard working people.,0
"200 black suspects refugees stop the german police to bring one person out of the country. after police have to let him go under pressure, he escaped in the underground.",0
los ultras groguicidas tienen bula e impunidad total para ir a la caza del golpista indepe catalufo separata todo por la patria viva franco y viva letizio 🇪🇸,0
"#asiacentral: #qatar tiene en sus manos a #kirguistán. escuelas árabes para radicalizar a los jóvenes, organizaciones benéficas, corrupción de funcionarios públicos: el objetivo es reclutar extremistas para enviar a #siria .",1
american citizens are being victimized by illegal aliensthe shocking findings by a new doj-dhs report. #nodaca #noamnesty #nosanctuary #endchainmigration#deportthemall #honoryouroath#protectusa#keepamericanssafeit is your job!,1
immigrant gi booted out of army at fort sam,0
"omg. if i was an immigrant or person of color, id hate to live in kansas if immigrant zealot kris kobach is elected givernor. he can only deprive kansans of the right to vote. via",0
"hoy mi platica con 2 jeques arabes: — ¿de que zona de méxico es la fnsm? — de aguascalientes. — ¿y las chaskas? — aguascalientes también. —¿y las bombas, la gente buena y el necaxa? — todo de aguascalientes. ¿entonces que hacen lo demás del país? — sinceramente, no lo se.",0
"if new plan pres trump &amp; steven miller working on becomes law, be assured illegal immigrants will think twice b4 crossing over us border. government assistance is going to be very difficult to get. looks like free organizations-churches who want them will have to support them.",1
#cbcnn maybe the haitian civil war can be explained as to the large numbers of refugees coming into 🇨🇦; oh right there was no civil war just trump saying go home the earthquake is over.,0
"this #teacherappreciationweek honor #immigrant postsecondary teachers, who come from many countries and backgrounds, bringing their expertise to educate tomorrow's american leaders. #fastfact",0
"the dr.ron paul! #makelibertywin #yalcon2018 #presidentpaul #endthefed #sendthemhome #liberty @ reston, virginia",0
"watch c. mario russell, esq., director of immigration &amp; refugee services at catholic charities of ny, live on as he talks about the reunification of immigrant families.",0
#sandiego #sanctuarystate #immigrants #undocumented #ice#california #democrats have chosen 1. criminals over the #safety of the people; and...,0
when there's no penalty for running a racist campaign the far right will continue to play a role in canadian politics. john tory should be ashamed for hiring someone who thrives on divisive politics.,0
"trump moving to strip palestinians of refugee status: report by al jazeera kushner - allegedly pressed jordan to strip more than two million palestinians of their refugee status, so the unrwa would no longer have to operate there.",0
again going on record that you care more for illegals than us citizens. theyre here illegally! #nodaca #noamnesty,1
3000 voices waiting to be heard i didn't ask them if they were refugees as their tears did shred the hearts of a nation freethem,0
"over the past two weeks, 1,172 refugees arrived in the us. 8,044 have arrived in fy18, but we are nearly 10,000 behind schedule. we will continue to stand for the vulnerable! #refugeeswelcome",0
al pp y a ciudadanos no les gusta que vengan los negritos indocumentados. lo que les gusta es que salgan los blanquitos licenciados.,0
attention #abortiongenocide the successful tool of the left*urge #congress 2 use #pp tax$ to support pregnant women &amp; their babes once born* preserve &amp; protect generations of americans born to americans*suspend immigration stop resettlement*deport &amp; repatriate*our homeland*wer#1,0
it's getting worse every single day! #stopimmigration #closetheborders #nomoreimmigrantshere #standupforyourwesternvalues,1
